avg,std,min,QPS,target,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,timestamp
374.2,329.7,148.8,65757.6,65908.0,202.9,215.7,332.7,398.6,439.4,472.9,512.7,561.2,633.7,818.3,3612.5,12603.4,840
382.4,379.1,148.8,16884.2,16889.0,204.6,217.9,356.7,426.1,459.0,480.1,501.6,527.7,564.9,728.3,5626.8,15690.9,850
373.7,226.3,148.8,42829.2,42912.0,200.4,213.8,330.0,402.8,453.5,492.9,534.6,582.3,646.7,863.4,2069.9,7812.7,860
366.9,228.4,148.8,100148.2,99898.0,207.4,222.8,337.3,397.5,433.5,462.0,496.1,540.5,612.4,781.8,1664.2,8297.9,870
384.9,471.9,148.8,26480.6,26385.0,202.8,215.4,333.5,425.8,477.6,506.5,535.4,570.4,623.2,797.5,4362.2,25344.4,880
377.1,339.3,148.8,22708.0,22616.0,202.4,215.1,338.3,427.4,472.7,496.9,522.8,550.4,593.6,722.7,4207.9,12381.0,890
375.0,274.5,148.8,50610.0,50605.0,202.9,216.4,334.2,403.0,449.8,486.8,528.0,577.3,642.3,807.8,2003.4,10021.4,900
367.8,269.6,148.8,90159.4,90283.0,206.0,220.7,333.0,394.7,431.9,461.4,496.9,542.2,617.4,794.2,2747.3,8136.5,910
379.5,385.8,148.8,26253.6,26273.0,202.3,215.2,331.0,421.5,472.8,501.7,531.3,565.2,615.3,763.2,4010.6,15387.5,920
378.3,204.5,148.8,48609.2,48521.0,203.3,217.1,338.9,411.2,458.7,494.9,535.4,585.3,656.0,835.1,2140.3,5812.3,930
378.2,355.9,148.8,33987.8,34058.0,201.9,214.5,328.2,410.6,464.9,500.6,536.4,577.5,634.0,809.7,4043.3,14815.0,940
371.9,299.8,148.8,75492.0,75648.0,203.5,217.2,334.2,400.8,442.7,474.8,513.7,564.1,639.0,808.0,2466.9,8566.8,950
391.0,437.3,148.8,19533.8,19482.0,205.6,220.2,356.7,434.6,471.4,491.9,513.2,539.3,581.4,889.4,4706.4,19331.5,960
375.4,370.4,160.7,15047.2,15054.0,205.7,219.8,359.4,420.4,449.9,469.1,489.0,509.0,544.1,677.4,3379.0,15509.9,970
368.3,322.4,148.8,75641.4,75754.0,203.1,216.3,328.8,395.4,435.7,468.5,507.2,554.9,628.4,797.3,2397.0,12071.9,980
366.0,715.5,160.7,5127.2,5187.0,222.8,243.4,319.4,344.2,359.0,368.9,382.2,400.3,442.4,1427.1,8361.2,28857.8,990
430.9,701.8,160.7,17650.4,17656.0,203.7,217.9,363.7,437.4,478.1,504.7,541.2,599.4,699.0,1576.7,8283.1,31555.5,1000
710.8,746.5,160.7,96399.0,96343.0,263.0,310.1,461.8,579.7,741.5,1022.8,1467.1,1610.4,1742.2,2606.4,8065.4,27961.9,1010
367.3,299.4,148.8,36682.8,36665.0,200.2,213.1,318.9,395.7,448.4,486.6,524.9,566.8,623.5,769.9,3316.9,11003.2,1020
367.0,272.5,148.8,85395.4,85269.0,204.5,218.8,330.3,394.1,432.8,463.9,501.0,547.4,622.4,789.3,2235.2,11650.1,1030
369.0,241.5,148.8,31500.4,31525.0,199.0,212.2,322.9,413.1,470.1,502.7,535.6,573.6,625.3,741.7,1900.6,9683.2,1040
373.6,254.3,148.8,61836.6,61798.0,202.2,215.2,331.7,401.5,447.0,483.1,524.4,575.5,646.3,836.8,2779.4,9555.6,1050
373.3,473.6,160.7,12328.2,12253.0,206.8,221.3,354.4,403.0,426.7,442.7,461.2,483.4,512.8,639.9,6143.8,27545.3,1060
376.6,443.5,148.8,25708.0,25710.0,200.0,213.1,328.8,419.5,467.9,495.7,524.6,556.7,604.4,741.5,3878.2,23113.1,1070
366.7,300.2,148.8,79833.2,79937.0,201.6,215.4,326.1,390.4,430.8,463.6,503.3,553.1,628.6,802.8,3375.0,9715.0,1080
367.5,517.0,160.7,7250.0,7271.0,214.1,232.0,331.7,361.9,377.4,389.9,402.5,423.9,461.9,1089.3,7988.4,24563.7,1090
362.3,325.4,148.8,85690.0,85861.0,201.6,214.8,325.1,387.1,424.7,454.6,491.4,538.1,611.6,770.5,2727.8,10975.4,1100
359.3,212.6,148.8,91365.0,91467.0,203.6,217.5,326.6,388.5,425.5,454.6,490.3,535.7,607.0,760.8,2210.1,7928.6,1110
372.8,371.0,148.8,72272.8,72217.0,202.7,216.3,329.7,395.0,435.8,469.5,509.5,560.0,633.2,813.6,4339.7,11867.6,1120
375.7,250.6,148.8,31119.4,31080.0,201.7,214.9,327.9,418.1,474.0,506.5,539.9,579.1,633.0,802.4,2659.7,10920.2,1130
365.7,339.3,148.8,76733.6,76878.0,202.1,215.2,324.1,388.7,429.2,461.9,501.6,549.8,625.8,804.6,2963.8,12099.0,1140
362.1,245.9,148.8,84524.6,84584.0,202.7,216.0,325.4,389.3,427.5,457.8,494.9,541.8,616.3,794.3,2185.1,9751.6,1150
367.8,365.3,148.8,12535.8,12492.0,206.8,220.8,354.6,404.0,428.2,444.8,463.2,485.7,515.1,611.2,4045.0,18852.0,1160
366.2,233.3,148.8,56992.0,57106.0,200.6,213.9,328.6,396.8,441.3,478.3,519.4,568.1,636.3,782.0,1691.8,6222.5,1170
383.1,391.0,148.8,96247.0,96245.0,205.9,221.5,341.4,406.4,446.9,476.9,512.6,560.8,637.7,855.2,4586.7,14623.4,1180
346.6,384.7,160.7,6735.0,6791.0,215.2,234.0,327.6,355.5,370.1,381.4,394.9,412.6,446.3,597.0,4098.1,15862.6,1190
361.9,276.5,148.8,90652.0,90728.0,204.1,218.3,326.4,388.6,425.8,455.2,490.7,536.6,610.5,775.8,2337.2,10843.3,1200
352.8,501.2,160.7,5160.0,5151.0,223.9,243.8,318.3,342.0,356.1,366.3,378.0,396.7,434.4,1166.5,7777.4,28821.2,1210
367.6,289.4,148.8,82727.8,82969.0,204.0,217.7,328.8,393.8,434.3,467.0,506.0,555.9,632.1,792.6,2780.6,10593.9,1220
366.4,207.0,148.8,42748.0,42635.0,199.1,212.6,323.9,398.3,449.5,489.2,530.3,577.4,636.8,749.4,1773.3,8220.7,1230
368.6,292.5,148.8,99650.6,99337.0,205.5,220.8,334.2,395.6,433.2,462.5,497.5,542.1,615.8,793.1,2267.6,11485.7,1240
358.9,203.6,148.8,95277.0,95192.0,203.3,217.6,326.4,386.8,422.7,450.5,484.5,529.0,597.2,768.4,2232.7,8257.5,1250
365.8,306.9,148.8,69153.8,69200.0,200.8,214.3,327.8,393.1,434.2,467.6,506.8,555.5,626.2,779.9,2142.6,14106.5,1260
368.6,229.0,148.8,49505.8,49459.0,200.4,213.8,330.5,399.3,445.5,481.8,522.5,570.4,634.4,791.6,1667.8,10012.3,1270
369.5,313.2,148.8,28884.8,29055.0,198.8,212.0,323.8,412.8,464.3,495.2,526.3,560.7,610.1,735.8,2741.8,12707.5,1280
366.0,217.0,148.8,64404.6,64324.0,200.0,213.5,329.8,396.7,438.0,471.5,510.3,558.8,631.3,799.5,1828.1,8213.4,1290
361.6,789.5,160.7,5717.8,5705.0,216.8,235.9,315.8,340.8,354.7,364.9,375.4,394.9,430.4,991.6,8106.9,37043.6,1300
365.9,523.3,148.8,84673.8,84816.0,201.4,215.0,328.1,392.3,431.4,461.5,497.3,544.1,620.1,801.4,2927.1,8005.1,1310
367.2,335.9,148.8,23664.6,23714.0,199.7,212.7,328.4,414.9,458.2,484.2,509.2,539.1,582.4,713.3,4190.7,15166.1,1320
368.0,266.6,148.8,74128.0,74116.0,201.4,214.8,330.5,396.4,437.2,469.5,507.4,556.4,632.3,806.5,2425.7,9167.2,1330
366.7,392.5,148.8,20107.4,19948.0,200.1,213.1,335.0,411.2,448.0,470.6,493.6,519.9,556.9,666.7,4305.5,15635.3,1340
462.9,422.0,148.8,44146.0,44213.0,198.9,213.8,339.8,455.2,537.3,615.9,746.0,921.5,1121.9,1462.0,3963.4,11591.8,1350
473.7,847.5,148.8,19543.6,19454.0,198.5,214.5,385.1,483.1,547.6,595.9,643.0,696.4,780.5,1292.4,12396.8,35989.0,1360
409.5,888.5,160.7,7273.6,7190.0,205.6,224.6,346.7,394.5,420.0,436.9,458.9,485.6,529.5,1489.7,12210.9,35381.3,1370
488.6,548.7,148.8,47424.4,47657.0,198.5,213.6,338.2,462.2,562.1,678.0,838.0,1004.3,1190.8,1542.9,7222.3,14270.2,1380
487.7,507.8,148.8,44401.8,44399.0,199.3,214.3,340.9,469.2,572.5,693.0,849.0,997.8,1176.3,1517.3,5024.7,13879.9,1390
455.0,1250.5,160.7,6499.2,6481.0,212.4,232.9,351.1,394.3,418.2,434.5,455.5,481.4,531.9,2566.2,27442.9,32496.9,1400
