timestamp,core_1,core_2,core_3,core_4
1715520402.682,83.3,21.4,13.0,8.3
1715520402.933,81.0,14.8,12.5,16.0
1715520403.184,81.8,15.4,13.0,8.3
1715520403.434,82.6,12.0,13.0,8.3
1715520403.685,86.4,21.4,13.0,12.0
1715520403.935,84.0,20.7,8.7,4.3
1715520404.186,84.0,18.5,4.8,8.7
1715520404.437,82.6,15.4,9.1,8.3
1715520404.687,87.0,8.0,4.5,4.3
1715520404.938,83.3,8.3,16.7,4.3
1715520405.188,52.0,8.0,8.3,17.9
1715520405.439,0.0,0.0,0.0,0.0
1715520405.689,4.0,0.0,0.0,0.0
1715520405.94,0.0,0.0,0.0,0.0
1715520406.191,0.0,0.0,0.0,0.0
1715520406.441,0.0,0.0,0.0,0.0
1715520406.692,3.8,0.0,0.0,0.0
1715520406.942,16.0,4.0,4.0,4.0
1715520407.193,90.9,18.5,13.0,4.5
1715520407.444,91.7,24.1,17.4,19.2
1715520407.694,91.7,12.0,16.7,22.2
1715520407.945,92.0,17.9,8.7,12.0
1715520408.195,96.2,21.4,13.0,4.5
1715520408.446,92.3,15.4,20.0,16.0
1715520408.697,91.7,25.0,20.8,22.2
1715520408.947,95.8,21.4,20.0,16.0
1715520409.198,92.3,24.1,13.0,12.5
1715520409.449,95.7,31.2,13.0,4.5
1715520409.699,92.3,12.0,13.0,8.3
1715520409.95,91.3,11.5,13.0,4.5
1715520410.2,92.3,24.1,23.1,16.0
1715520410.451,95.8,12.0,9.1,12.5
1715520410.702,92.0,15.4,20.0,18.5
1715520410.952,91.7,25.8,16.7,12.5
1715520411.203,92.3,21.4,13.0,22.2
1715520411.454,96.0,15.4,0.0,8.3
1715520411.704,91.7,18.5,28.6,22.2
1715520411.955,74.1,14.8,8.7,4.3
1715520412.205,0.0,0.0,0.0,0.0
1715520412.456,0.0,0.0,0.0,0.0
1715520412.706,0.0,0.0,0.0,0.0
1715520412.957,0.0,0.0,0.0,0.0
1715520413.208,0.0,0.0,0.0,0.0
1715520413.458,0.0,0.0,0.0,0.0
1715520413.709,4.0,0.0,4.0,0.0
1715520413.959,92.0,12.0,13.6,4.5
1715520414.21,100.0,25.0,21.7,19.2
1715520414.461,96.2,15.4,18.2,8.7
1715520414.711,100.0,18.5,24.0,19.2
1715520414.962,96.0,21.4,20.8,4.5
1715520415.213,96.2,12.0,13.6,12.5
1715520415.463,100.0,21.4,24.0,12.5
1715520415.714,96.2,24.1,30.8,12.5
1715520415.964,100.0,18.5,26.9,12.5
1715520416.215,96.0,12.0,24.0,8.7
1715520416.466,96.3,15.4,10.0,16.0
1715520416.716,100.0,18.5,32.1,12.5
1715520416.967,96.2,21.4,13.6,4.5
1715520417.218,100.0,21.4,24.0,8.7
1715520417.468,96.2,12.0,9.5,12.5
1715520417.719,100.0,15.4,28.0,16.0
1715520417.97,96.0,24.1,17.4,12.5
1715520418.22,100.0,18.5,20.8,12.5
1715520418.471,95.8,18.5,26.9,8.7
1715520418.722,92.3,21.4,30.8,16.7
1715520418.972,4.0,0.0,0.0,0.0
1715520419.223,0.0,0.0,0.0,0.0
1715520419.473,3.8,0.0,0.0,3.8
1715520419.724,0.0,0.0,0.0,0.0
1715520419.974,0.0,0.0,0.0,0.0
1715520420.225,0.0,0.0,0.0,0.0
1715520420.475,0.0,0.0,0.0,0.0
1715520420.726,84.0,24.1,13.6,8.3
1715520420.977,100.0,25.0,17.4,4.3
1715520421.227,100.0,22.2,9.5,12.0
1715520421.478,100.0,19.2,20.8,4.2
1715520421.729,100.0,19.2,10.0,8.3
1715520421.979,100.0,29.0,13.6,4.3
1715520422.23,100.0,16.0,20.8,0.0
1715520422.48,100.0,16.0,24.0,12.0
1715520422.731,100.0,21.4,17.4,12.0
1715520422.982,100.0,16.0,29.6,11.5
1715520423.232,100.0,4.5,17.4,15.4
1715520423.483,100.0,15.4,14.3,8.3
1715520423.733,100.0,8.7,17.4,15.4
1715520423.984,100.0,16.0,13.6,4.2
1715520424.235,100.0,21.4,13.0,4.3
1715520424.485,100.0,19.2,24.0,0.0
1715520424.736,100.0,19.2,29.6,8.0
1715520424.987,100.0,24.1,18.2,4.3
1715520425.238,100.0,27.6,13.6,12.0
1715520425.489,100.0,22.2,24.0,12.0
1715520425.739,12.0,3.8,4.0,0.0
1715520425.99,0.0,0.0,3.8,0.0
1715520426.24,0.0,0.0,0.0,0.0
1715520426.491,0.0,0.0,3.8,0.0
1715520426.741,0.0,0.0,0.0,0.0
1715520426.992,0.0,0.0,7.4,0.0
1715520427.243,4.0,4.0,0.0,4.0
1715520427.493,72.0,16.0,8.3,16.0
1715520427.744,100.0,28.0,18.5,20.8
1715520427.994,100.0,29.6,16.0,26.9
1715520428.245,100.0,20.0,8.3,13.0
1715520428.496,100.0,20.8,0.0,17.4
1715520428.746,100.0,34.5,16.7,24.0
1715520428.997,100.0,26.9,12.0,20.0
1715520429.248,100.0,26.9,12.5,4.8
1715520429.498,100.0,37.5,8.3,17.4
1715520429.749,100.0,24.0,8.3,23.1
1715520430.0,100.0,24.0,19.2,13.6
1715520430.25,100.0,35.5,18.5,25.9
1715520430.501,100.0,34.5,4.3,20.8
1715520430.752,100.0,32.1,12.5,28.6
1715520431.002,100.0,23.1,8.3,25.9
1715520431.253,100.0,24.0,16.0,29.6
1715520431.504,100.0,26.9,12.0,28.6
1715520431.754,100.0,24.0,15.4,26.9
1715520432.005,100.0,25.9,19.2,25.9
1715520432.256,100.0,26.9,12.0,23.1
1715520432.506,26.9,11.1,7.7,8.0
